user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,location,coordinates,state,country
Tino Espinosa,"Oceanside, CA","Living Life al 💯💯 #2022 we ain’t taking no bs 🔮🔮🔮🔮 PUREPERO,MICHOACÁN 🇲🇽#investor #urbnstocks #student #nft #bapesclan #queenjaylissa #castleJanitor🧼",2015-05-25 21:32:31+00:00,39,206,271,False,2022-02-27 22:24:46+00:00,🚀 LFG I’m excited for this 🔮 #Bapesclan #bapes #nft #bapesholder #Metaverse #thefuture https://t.co/oRkAxG9qKl,"['Bapesclan', 'bapes', 'nft', 'bapesholder', 'Metaverse', 'thefuture']",Twitter for iPhone,False,"Oceanside, San Diego County, California, 92054, United States","(33.1958696, -117.3794834, 0.0)",Oceanside, United States
star nft labs,United States,NFT STAR LABORATORIES . IT IS A TEAM OF 6 PEOPLE THAT HAS DONE A LOT OF RESEARCH AND DEVELOPMENT ON NFT COLLECTIONS SINCE 2019.,2021-10-27 18:30:33+00:00,385,639,1177,False,2022-02-27 22:24:41+00:00,Check out this item on OpenSea https://t.co/7P4WfRh8MX via @opensea #nft #NFTs #NFTGiveaway #NFTCommunity #NFTdrop #NFTProject #NFTartist #nftcollector #NFTCollection #collector #BoredApe #BoredApeYC #MutantApeYachtClub #Metaverse #ethnft #EthereumNFTs #OpenSeaNFT #0xApesTrilogy,"['nft', 'NFTs', 'NFTGiveaway', 'NFTCommunity', 'NFTdrop']",Twitter Web App,False,United States,"(39.7837304, -100.445882, 0.0)",United States,United States
star nft labs,United States,NFT STAR LABORATORIES . IT IS A TEAM OF 6 PEOPLE THAT HAS DONE A LOT OF RESEARCH AND DEVELOPMENT ON NFT COLLECTIONS SINCE 2019.,2021-10-27 18:30:33+00:00,385,639,1177,False,2022-02-27 22:24:33+00:00,Check out this item on OpenSea https://t.co/xZNeIOpklY via @opensea #nft #NFTs #NFTGiveaway #NFTCommunity #NFTdrop #NFTProject #NFTartist #nftcollector #NFTCollection #collector #BoredApe #BoredApeYC #MutantApeYachtClub #Metaverse #ethnft #EthereumNFTs #OpenSeaNFT #0xApesTrilogy,"['nft', 'NFTs', 'NFTGiveaway', 'NFTCommunity', 'NFTdrop']",Twitter Web App,False,United States,"(39.7837304, -100.445882, 0.0)",United States,United States
star nft labs,United States,NFT STAR LABORATORIES . IT IS A TEAM OF 6 PEOPLE THAT HAS DONE A LOT OF RESEARCH AND DEVELOPMENT ON NFT COLLECTIONS SINCE 2019.,2021-10-27 18:30:33+00:00,385,639,1177,False,2022-02-27 22:24:22+00:00,Check out this item on OpenSea https://t.co/bXMobHQZCt via @opensea #nft #NFTs #NFTGiveaway #NFTCommunity #NFTdrop #NFTProject #NFTartist #nftcollector #NFTCollection #collector #BoredApe #BoredApeYC #MutantApeYachtClub #Metaverse #ethnft #EthereumNFTs #OpenSeaNFT #0xApesTrilogy,"['nft', 'NFTs', 'NFTGiveaway', 'NFTCommunity', 'NFTdrop']",Twitter Web App,False,United States,"(39.7837304, -100.445882, 0.0)",United States,United States
ranklike,Germany,"We help brands to rank & grow on #socialmedia
📢 Best tips & tools for #onlinemarketing
🎯 20+ years of marketing experience
👇🏼 Join the @ranklike team 👇🏼",2021-08-07 13:26:17+00:00,69,671,33,False,2022-02-27 22:24:21+00:00,"Top 5 cryptocurrencies to watch this week: BTC, LUNA, AVAX, ATOM, FTM

Crypto markets are expected to re... #nft #btc #bitcoin #crypto #metaverse #etherium
https://t.co/ADUMuj5cwr",['nft'],Makezu.io,False,Germany,"(51.0834196, 10.4234469, 0.0)",Germany,Germany
star nft labs,United States,NFT STAR LABORATORIES . IT IS A TEAM OF 6 PEOPLE THAT HAS DONE A LOT OF RESEARCH AND DEVELOPMENT ON NFT COLLECTIONS SINCE 2019.,2021-10-27 18:30:33+00:00,385,639,1177,False,2022-02-27 22:24:12+00:00,Check out this item on OpenSea https://t.co/yZmiLImYga via @opensea #nft #NFTs #NFTGiveaway #NFTCommunity #NFTdrop #NFTProject #NFTartist #nftcollector #NFTCollection #collector #BoredApe #BoredApeYC #MutantApeYachtClub #Metaverse #ethnft #EthereumNFTs #OpenSeaNFT #0xApesTrilogy,"['nft', 'NFTs', 'NFTGiveaway', 'NFTCommunity', 'NFTdrop']",Twitter Web App,False,United States,"(39.7837304, -100.445882, 0.0)",United States,United States
CRYPTO BADSHA ⚡,India,,2020-02-11 15:48:42+00:00,32,191,1126,False,2022-02-27 22:22:54+00:00,"@1goonrich A true 100x will definitely need state-of-the-art technology.

So, my clear pick is $SDX and $KSI - both part of the @SwapdexO ecosystem.
#DEX, #NFT, #Metaverse, #EVM and a brand-new substrate based #web3 #Blockchain
They have it all!!

Both running for #CoinOfTheYear",,Twitter for Android,False,India,"(22.3511148, 78.6677428, 0.0)",India,India
New State of NFT Art,İstanbul,"The NFTs of Turkish Artist @eeeceeem, admired by world-famous people and whose content is famous, are only on @cryptonftcreator Thanks to @opensea for the coop.",2022-02-14 13:33:25+00:00,11700,34,2,False,2022-02-27 22:22:53+00:00,"Thanks to @opensea and @badgalriri

The love of art and technology. Collab with Turkish Artist @eeeceeem and @cryptonftcretor

https://t.co/FHHCV7g0U9

#nft #rihanna #badgalriri #metaverse #opensea #web3 #cryptoart #blockchain #nftdrop #nftartcollector #ethereum #3fmusic #sold https://t.co/UTGLQMtWs7",,Twitter Web App,False,"Istanbul, Fatih, Istanbul, Marmara Region, 34126, Turkey","(41.0091982, 28.9662187, 0.0)",Istanbul, Turkey
CRYPTO BADSHA ⚡,India,,2020-02-11 15:48:42+00:00,32,191,1126,False,2022-02-27 22:22:07+00:00,"@cryptogems555 A true 100x will definitely need state-of-the-art technology.

So, my clear pick is $SDX and $KSI - both part of the @SwapdexO ecosystem.
#DEX, #NFT, #Metaverse, #EVM and a brand-new substrate based #web3 #Blockchain
They have it all!!

Both running for #CoinOfTheYear",,Twitter for Android,False,India,"(22.3511148, 78.6677428, 0.0)",India,India
M,Tehran ,"⚜Mani⚜
.
the only thing🏛that is impossible⭐is just the( impossible ) 🗽
^^☯️
.
..
...
✋waiting",2021-10-29 11:24:16+00:00,71,221,4681,False,2022-02-27 22:22:00+00:00,"@WhaleRumors $pex time for mem 🔝🚀🚀🚀🚀
#NFT #Metaverse 
#staking #game 
my turn","['NFT', 'Metaverse', 'staking', 'game']",Twitter for Android,False,"Tehran, بخش مرکزی شهرستان تهران, Tehran County, Tehran Province, Iran","(35.6892523, 51.3896004, 0.0)",Tehran, Iran
